index,sequence_id,frame_id,name,cx,cy,cz,l,w,h,θ
0,000027,1616100800400,Truck,9.34,-32.29,-0.03,6.35,2.21,2.53,1.16
1,000027,1616100800400,Pedestrian,-38.08,1.08,0.5,0.77,0.83,1.71,3.12
2,000027,1616100801400,Truck,14.15,-23.35,-0.06,6.26,2.27,2.17,1.35
3,000027,1616100801400,Truck,16.23,-15.13,-0.88,4.8,1.85,2.16,1.36
4,000027,1616100801400,Pedestrian,-39.01,1.88,0.42,0.76,0.74,1.45,3.2
5,000027,1616100801400,Pedestrian,34.14,-10.87,-1.63,0.78,0.78,1.69,2.86
6,000027,1616100802400,Truck,16.07,-13.44,-0.19,6.0,2.3,1.92,1.47
7,000027,1616100802400,Pedestrian,33.43,0.92,-1.37,0.68,0.82,1.95,2.99
8,000027,1616100802400,Pedestrian,-40.26,6.72,0.27,0.8,0.8,1.7,3.14
9,000027,1616100803399,Truck,16.64,-1.57,-0.15,6.06,2.24,2.07,1.53
10,000027,1616100803399,Pedestrian,29.84,55.68,1.11,0.79,0.8,1.67,4.37
11,000027,1616100803399,Pedestrian,26.94,-7.76,-0.56,0.77,0.78,1.65,4.26
12,000027,1616100803399,Pedestrian,-41.85,15.09,0.64,0.57,0.74,1.47,3.1
13,000027,1616100804400,Pedestrian,-36.6,-24.19,0.72,0.79,0.79,1.68,3.11
14,000027,1616100811399,Pedestrian,-14.71,23.91,-0.27,0.98,0.78,1.7,4.76
15,000027,1616100812399,Pedestrian,7.81,64.87,-0.13,0.8,0.8,1.71,1.63
16,000027,1616100825399,Pedestrian,10.76,-18.56,-1.47,0.77,0.77,1.63,4.64
17,000027,1616100828400,Truck,-3.65,63.49,1.02,5.31,2.79,1.58,4.7
18,000027,1616100828400,Truck,-2.61,40.79,-0.79,4.87,2.02,1.6,4.7
19,000027,1616100831399,Pedestrian,-25.97,-66.6,-0.7,0.8,0.8,1.7,4.68
20,000027,1616100831399,Pedestrian,-26.8,-66.44,-0.72,0.8,0.8,1.7,4.72
21,000027,1616100835400,Pedestrian,-25.82,-53.17,-0.79,0.8,0.81,1.55,4.52
22,000027,1616100836899,Pedestrian,-13.31,-36.98,-1.16,0.78,0.78,1.64,0.83
23,000027,1616100837900,Pedestrian,-29.31,-34.24,-0.59,0.79,0.8,1.65,3.94
24,000027,1616100837900,Pedestrian,-33.46,-36.39,-0.96,0.78,0.78,1.66,3.59
25,000027,1616100838900,Pedestrian,-33.22,-47.05,-0.88,0.79,0.93,1.69,1.4
26,000027,1616100839899,Pedestrian,-17.67,-39.4,-1.17,0.83,0.8,1.87,5.4
27,000027,1616100839899,Pedestrian,-15.51,-52.49,-1.1,0.95,0.79,1.69,4.7
28,000027,1616100840900,Truck,20.64,-26.99,-0.89,13.45,2.82,3.79,1.58
29,000027,1616100840900,Pedestrian,-17.26,-30.62,-1.09,0.8,0.98,1.78,4.68
30,000027,1616100840900,Pedestrian,-15.89,-41.51,-0.84,0.78,0.78,1.64,1.69
31,000027,1616100840900,Pedestrian,-15.88,-42.63,-0.85,0.79,0.79,1.65,1.48
32,000027,1616100840900,Pedestrian,-31.06,-28.39,-0.52,0.78,0.78,1.62,0.39
33,000027,1616100840900,Pedestrian,-12.21,-69.69,-1.68,0.79,0.79,1.68,1.59
34,000027,1616100841900,Truck,20.15,-9.24,-0.61,13.83,3.14,3.6,1.52
35,000027,1616100841900,Pedestrian,-17.86,-20.59,-0.75,0.8,0.94,1.9,4.58
36,000027,1616100841900,Pedestrian,-17.16,-29.21,-0.61,0.93,0.77,1.68,1.53
37,000027,1616100841900,Pedestrian,-17.26,-30.51,-0.58,0.82,0.77,1.67,1.54
38,000027,1616100841900,Pedestrian,-14.85,-64.3,-1.27,0.79,0.79,1.68,4.64
39,000027,1616100841900,Pedestrian,-30.54,-16.86,-0.45,0.86,0.98,1.78,0.07
40,000027,1616100842900,Truck,20.85,10.33,-0.42,13.75,3.39,3.57,1.49
41,000027,1616100842900,Pedestrian,-18.17,-9.42,-0.73,0.85,0.7,1.72,0.06
